occupation_item_id	count	text_data	context	class_type
82955	606008	politician	person involved in politics, person who holds or seeks positions in government	occupation
189290	33481	military officer	member of an armed force or uniformed service who holds a position of authority	occupation
131512	8887	farmer	person that works in agriculture	occupation
1734662	2012	cartographer	person preparing geographical maps	occupation
294126	323	land surveyor	profession	occupation
81096	34500	engineer	professional practitioner of engineering and its sub classes	occupation
372436	3790	statesperson	politician in high government offices	occupation
5446967	29	field agent	agent who works in the field, as opposed to one who works at the office or headquarters	occupation
4991371	6642	soldier	one who serves as part of an organized armed force	occupation
20085850	196	fictional vigilante		occupation
214917	12162	playwright	person who writes plays	occupation
28389	47247	screenwriter	writer who writes for TV, films, comics and games	occupation
6625963	23935	novelist	author or writer of novels	occupation
4853732	8370	children's writer	writer of literature targeted primarily at children	occupation
18844224	5146	science fiction writer	person who writes works of science fiction	occupation
245068	6568	comedian	person who seeks to entertain an audience, primarily by making them laugh	occupation
36180	245025	writer	person who uses written words to communicate ideas and to produce works of literature	occupation
40348	68532	lawyer	legal professional who helps clients and represents them in a court of law	occupation
182436	8196	librarian	person who works professionally in a library, and is usually trained in librarianship	occupation
1265807	76	information scientist	profession	occupation
205375	6487	inventor	person that devises a new device, method, composition, or process	occupation
10429346	595	bibliographer	person who describes and lists books and other publications	occupation
15982858	561	motivational speaker	speaker intended to motivate the audience	occupation
18814623	2664	autobiographer	person who wrote their autobiography	occupation
1028181	145927	painter	artist who practices painting	occupation
14089670	18700	rugby union player	sportsperson who plays rugby union	occupation
43845	57444	businessperson	person involving in activities for the purpose of generating revenue	occupation
1979607	941	financier	person who makes their living from investments	occupation
49757	79887	poet	person who writes and publishes poetry	occupation
4164507	1692	art critic	person who specializes in evaluating art	occupation
11774202	4488	essayist	person who writes essays	occupation
333634	33639	translator	person who translates text from one language to another	occupation
482980	34730	author	author or intellectual author of a linguistic work	occupation
4263842	8774	literary critic	cultural journalist who reviews new literary books	occupation
11063	7344	astronomer	scientist who studies celestial bodies	occupation
185351	21787	jurist	legal scholar or academic, a professional who studies, teaches, and develops law	occupation
188094	31602	economist	professional in the social science discipline of economics	occupation
170790	20756	mathematician	person with an extensive knowledge of mathematics	occupation
16012028	1371	legal scholar	researcher whose focus is on legal issues	occupation
169470	20367	physicist	scientist who does research in physics	occupation
4964182	19892	philosopher	person with an extensive knowledge of philosophy	occupation
39631	44308	physician	professional who practices medicine	occupation
193391	39416	diplomat	person appointed by a state to conduct diplomacy with another state or international organization	occupation
483501	39667	artist	person who creates, practises and/or demonstrates any art	occupation
177220	92198	singer	person singing for a listening audience	occupation
488205	14692	singer-songwriter	musician who writes, composes and sings	occupation
2526255	52479	film director	occupation of a person who directs a film	occupation
639669	55463	musician	person who performs or composes music	occupation
855091	14051	guitarist	person who plays the guitar	occupation
183945	13998	record producer	individual who oversees and manages the recording of an artist's music	occupation
33999	220615	actor	person who acts in a dramatic or comic production and works in film, television, theatre, or radio	occupation
753110	19276	songwriter	person who writes the words or music (or both) to songs	occupation
486748	18829	pianist	musician who plays the piano	occupation
10800557	62347	film actor	actor who appears in films or movies	occupation
33231	35569	photographer	person who takes photographs	occupation
41546637	254	Wikimedian	contributor in the Wikimedia movement	occupation
1209498	884	poet lawyer	poet with legal training	occupation
7042855	6206	film editor	person who works with the raw footage, selecting shots and combining them into sequences to create a finished motion picture	occupation
864380	4136	biographer	person who creates biographies	occupation
3387717	8854	theater director	person overseeing the mounting of a theatre production	occupation
26237228	204	epigrammatist		occupation
2259451	29815	stage actor	actor who performs live before an in-person audience	occupation
10798782	41106	television actor	actor who performs on television	occupation
2405480	12490	voice actor	person who provides voice-overs for a character in films, animation, video games or in other media	occupation
3282637	24072	film producer	person who supervises the overall process, creative and financial, of making a film	occupation
201788	56593	historian	scholar who deals with the exploration and presentation of history	occupation
1476215	2765	human rights activist	person who, individually or with others, acts to promote or protect some variation of human rights	occupation
16742096	1012	nuclear physicist	physicist in nuclear science	occupation
47064	75494	military personnel	member of the armed forces	occupation
2095549	6958	aircraft pilot	person controlling an aircraft in flight	occupation
36834	78434	composer	person who creates music, either by musical notation or oral tradition	occupation
1930187	117705	journalist	person who collects, writes and distributes news and other information	occupation
158852	16771	conductor	person who directs a musical group during a performance	occupation
1350157	1818	music critic	profession	occupation
8178443	1531	librettist	author of the libretto (words) of an opera similar extended musical composition	occupation
214970	15	virtuoso	individual who possesses outstanding technical ability in a particular art or field	occupation
2914170	272	street artist	artist performing in public places, for gratuities	occupation
42759	19	Mujahid	Muslim who struggles in the path of Allah	occupation
13582652	4510	civil engineer	engineer specialising in design, construction and maintenance of the built environment	occupation
1238570	7229	political scientist	occupation	occupation
1622272	101818	university teacher	person teaching at a university	occupation
2306091	9149	sociologist	scientist working in sociology	occupation
3630699	624	game designer	person who designs games or video games	occupation
54845077	569	role-playing game designer	someone who designs role-playing games	occupation
18939491	875	diarist	person who writes a personal journal	occupation
2304859	2242	sovereign	leader of a monarchy	occupation
15986539	559	sports official	official in a sports organization	occupation
4439155	2140	long-distance runner	sportsperson who runs for distances longer than 3000 metres	occupation
11513337	32633	athletics competitor	sportsperson that competes in athletics (track and field, running, walking)	occupation
17405793	278	racewalker	sportsperson taking part in racewalking events	occupation
18534714	375	shot putter	sportsperson competing in shot put	occupation
14605941	58	combined track and field event athlete	athlete taking part in combined track and field events	occupation
937857	259012	association football player	person who plays association football (soccer)	occupation
4144610	4502	alpine skier	sportsperson taking part in alpine skiing competitions	occupation
16574916	12	ski instructor		occupation
599151	5213	official	someone who holds an office	occupation
19595175	10794	amateur wrestler	"sportsperson specialized in amateur wrestling (excluding the so-called ""professional wrestling"", see Q13474373)"	occupation
11124885	944	martial artist	person who practises a martial art	occupation
11224008	2	fighter	someone who fights (as a sport or in a combat)	occupation
806798	9023	banker	person who works in banking	occupation
2722764	8344	radio personality	person who has an on-air position in radio broadcasting	occupation
16157720	10			occupation
1397808	3376	resistance fighter	fighter who is resisting an occupying force	occupation
1076502	2013	choir director	person who directs a choir	occupation
1415090	2703	film score composer	musical profession	occupation
1259917	5552	violinist	person who plays the violin	occupation
16145150	8912	music pedagogue	profession and academic title	occupation
130857	4961	disc jockey	person who plays recorded music for an audience	occupation
2059704	3647	television director	person who directs television programs	occupation
11338576	15163	boxer	sportsperson taking part in boxing competitions	occupation
551835	563	physician writer	physicians who write creatively in fields outside their practice of medicine	occupation
23833535	2461	French Resistance fighter		occupation
121594	12119	professor	academic title at universities and other education and research institutions	occupation
628099	25695	association football manager	team manager in association football (soccer)	occupation
733786	3491	monk	member of a monastic religious order	occupation
4504549	2217	religious servant	member of a religious community	occupation
18921227	194	ufologist	person who specializes in ufology	occupation
12859263	379	orator	public speaker	occupation
1234713	19193	theologian	person who studies theology	occupation
15077007	792	podcaster	person who creates podcasts	occupation
15978655	659	consultant	professional who provides advice in their specific field of expertise	occupation
15980158	6820	non-fiction writer	author who writes non-fiction texts	occupation
219477	6070	missionary	member of a religious group sent into an area to do evangelism	occupation
1747339	16	trobairitz	Occitan female troubadours of the 12th and 13th centuries	occupation
2478141	7108	aristocrat	person who either possess hereditary titles granted by a monarch or are related to such people	occupation
15981151	9437	jazz musician	musician who plays jazz	occupation
17486376	3604	sport shooter	person who does sport shooting	occupation
3665646	34680	basketball player	sportsperson taking part in basketball competitions	occupation
1996467	24	trouvère		occupation
767975	3	Goliard		occupation
2251335	1940	school teacher	teacher in primary or secondary education	occupation
2629392	957	puppeteer	person who manipulates a puppet in real time to create the illusion of life	occupation
16402890	242	draughts player	person who plays draughts professionally	occupation
350979	10426	zoologist	someone who studies or practices zoology	occupation
16868721	1273	carcinologist	scientist who studies crustaceans	occupation
186370	491	troubadour	composer and performer of Old Occitan lyric poetry during the High Middle Ages	occupation
1250916	697	warrior	person specializing in combat or warfare	occupation
864503	8907	biologist	scientist studying living organisms	occupation
12800682	3525	saxophonist	musician who plays the saxophone	occupation
674067	193	mime artist	someone who uses mime as a theatrical medium or performance art	occupation
2643890	904	vocalist	artist using his/her voice as an instrument	occupation
13235160	2056	producer	individual or organization that creates goods and services	occupation
12797895	97	occultist	occupation; study of occult practices	occupation
2340668	298	music video director	person who directs the music artist, the actors and film crew in making music videos	occupation
3068305	500	salonnière	person who organizes or hosts a salon	occupation
329439	5205	engraver	person with the profession of engraving	occupation
998628	586	illuminator	artist who illustrates books and manuscripts	occupation
13365770	719	copperplate engraver	person who creates copper plates by engraving lines on them	occupation
17391638	37	art theorist	profession that works in the field of art theory	occupation
15296811	11185	drawer	person who makes drawings (artist/cartoonist/drafter/illustrator)	occupation
1437754	167	xylographer	person who designs a wooden plate for printing	occupation
644687	13792	illustrator	narrative artist who makes images for printed and electronic products	occupation
33082999	105	ukiyo-e artist	Person who drew Ukiyo-e	occupation
4610556	20946	model	person employed to display, advertise and promote products, or to serve as a visual aid	occupation
208762	324	chaplain	minister of a religious tradition who is attached to an institution	occupation
63253698	195	dominican friar	member of Dominican Order	occupation
822146	6518	lyricist	writer who specializes in writing song lyrics	occupation
13381753	1511	middle-distance runner	sportsperson taking part in running competitions over distances of at least 800 metres up to 3000 metres	occupation
3427922	1135	restaurateur	person who opens and runs restaurants professionally	occupation
55960555	847	recording artist	person, musician who performs music for recordings	occupation
947873	16759	television presenter	person who introduces or hosts television programs	occupation
512314	1189	socialite	person of prominence with a high social position in upper class society	occupation
2066131	23950	athlete	person who participates regularly in a sport	occupation
18510502	843	javelin thrower	sportsperson taking part in javelin throw competitions	occupation
593644	17414	chemist	scientist trained in the study of chemistry	occupation
18930007	69	political philosopher		occupation
11499147	947	political activist	activist wanting political change	occupation
3589292	13	women letter writer		occupation
34074720	1638	feminist	person who defends feminism	occupation
116	2945	monarch	person at the head of a monarchy	occupation
22073916	85	tragedy writer		occupation
